Trait	QTL	LG	Scaffold	Start	End	Marker	Level	Reference	Pmid	Strategy	Marker_type	Phenotype description	Population	Comment	Candidate genes	Alternative_notation
Ovary activation	OvA1	15	NC_037652.1	6339308	6402471	Am253	Individual	Oxley PR et al. 2008	18562647	Linkage mapping	STR	Individual worker ovaries were scored on an 5 point scale that reflects stages of ovary activation (14 days).	Anarchistic colony identified from the field (Coffs Harbour, New South Wales) in 1995 (Montague and Oldroyd 1998)	Am253 marker primers not found	DopR2	
Ovary activation	OvA2	7	NC_037644.1	12843062	12843214	SV272	Individual	Oxley PR et al. 2008	18562647	Linkage mapping	STR	Individual worker ovaries were scored on an 5 point scale that reflects stages of ovary activation (14 days).	Anarchistic colony identified from the field (Coffs Harbour, New South Wales) in 1995 (Montague and Oldroyd 1998)			
Ovary activation	OvA3	7	NC_037644.1	11720631	11720758	SV084	Individual	Oxley PR et al. 2008	18562647	Linkage mapping	STR	Individual worker ovaries were scored on an 5 point scale that reflects stages of ovary activation (14 days).	Anarchistic colony identified from the field (Coffs Harbour, New South Wales) in 1995 (Montague and Oldroyd 1998)			
Ovary activation	OvA4	13	NC_037650.1	5875964	5876595	Am074	Individual	Oxley PR et al. 2008	18562647	Linkage mapping	STR	Individual worker ovaries were scored on an 5 point scale that reflects stages of ovary activation (14 days).	Anarchistic colony identified from the field (Coffs Harbour, New South Wales) in 1995 (Montague and Oldroyd 1998)	Am074 marker primers not found		
Gentleness		4		3378436	3378436			Guichard M et al. 2021	33970494							
Gentleness		3	NC_037640.1	1483128	1483128			Guichard M et al. 2021	33970494							
Calmness		8		750884	750884			Guichard M et al. 2021	33970494							
Calmness		6	NC_037643.1	1584897	1584897			Guichard M et al. 2021	33970494							
Calmness		12		6041432	6041432			Guichard M et al. 2021	33970494							
Foraging behaviour	Pln1															
Foraging behaviour	Pln2															
Foraging behaviour	Pln3															
Foraging behaviour	Amfor															
Defense response	sting1	7	NC_037644.1	1871233	1871476	stsN4-.245	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD		European and Africanized	Marker sig. for flying (P < 0.05) and stinging (P < 0.01)		stsN4-.245F; stsN4-.245R
Defense response	sting1	7	NC_037644.1	3084916	3084936	sts25-.44	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		sts25-44; 25.44F; 25.44R
Defense response	sting1	7	NC_037644.1	2818524	2818555	a12.086	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		
Defense response	sting1	7	NC_037644.1	2664780	2664885	a43.145	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		
Defense response	sting1	7	NC_037644.1	2593835	2594404	a17.080	Individual	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Confirming marker: Individual guarding		a17-.080; A17.080
Defense response	sting1					a17.08-1.5	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		
Defense response	sting1	7	NC_037644.1	2385214	2385739	GRP7.17	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		GRP7.17-3
Defense response	sting1	7	NC_037644.1	1923679	1923758	a51.105	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		
Defense response	sting1	7	NC_037644.1	1917703	1918160	N4p88k1	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI		
Defense response	sting1					N4-.27	Individual	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Confirming marker: Individual stinging (2 studies) and individual guarding		
Defense response	sting1	1	NC_037638.1	23068215	23068428	450-.3	Colony	Hunt et al. 1998; Hunt et al. 2007		linkage mapping	RAPD			Marker within 97% CI; (! different chromosome)		
